title,url,image,subtitle
East Midlands,https://www.bbc.co.uk/sounds/brand/p00dfzp7,images/eastmidlands_deanjackson_b_0525.jpg,
Essex & Cambridgeshire,https://www.bbc.co.uk/sounds/brand/p001d7q9,images/essexcambs_mattplumb_b_0525.jpg,
Kent ,https://www.bbc.co.uk/sounds/brand/p001d715,images/kent_abbiemccarthy_b_0525.jpg,
Lancashire & Cumbria,https://www.bbc.co.uk/sounds/brand/p012bztt,images/lancscumbria_williamw_b_0525.jpg,
Leeds & Sheffield,https://www.bbc.co.uk/sounds/brand/p004tfds,images/leedssheffield_pilbeamcarlisle_b_0525.jpg,
London ,https://www.bbc.co.uk/sounds/brand/ p025tszp,images/london_jessiszatt_alt_b_0525.jpg,
Manchester,https://www.bbc.co.uk/sounds/brand/p0035lnc,images/manchester_roesh_b_0825.jpg,
Merseyside,https://www.bbc.co.uk/sounds/brand/p001d7td,images/merseyside_davemonks_b_0525.jpg,
Suffolk & Norfolk,https://www.bbc.co.uk/sounds/brand/p001d7xz,images/suffolknorfolk_angelle_b_0725.jpg,
The North East,https://www.bbc.co.uk/sounds/brand/p011ybvq,images/northeast_shakk_b_0525.jpg,
Oxfordshire & Berkshire,https://www.bbc.co.uk/sounds/brand/p001d7q6,images/oxfordberks_davegilyeat_b_0525.jpg,
"Shropshire, Stoke, Hereford & Worcester",https://www.bbc.co.uk/sounds/brand/p001d72q,images/sshw_andrewmarston_b_0525.jpg,
Solent,https://www.bbc.co.uk/sounds/brand/p040pjkt,images/solent_stephnieuwenhuys_b_0525.jpg,
Sussex & Surrey,https://www.bbc.co.uk/sounds/brand/p001d7kh,images/sussexsurrey_melitadennett_b_0525.jpg,
The Channel Islands,https://www.bbc.co.uk/sounds/brand/073zy9g,images/channelislands_timhunter-maidavale_b_0525.jpg,
The South West,https://www.bbc.co.uk/sounds/brand/p012bztv,images/southwest_danielpascoe_b_0525.jpg,
The West,https://www.bbc.co.uk/sounds/brand/p012bzts,images/west_jamesthrellfall_b_0525.jpg,
Three Counties & Northants,https://www.bbc.co.uk/sounds/brand/p001d7fq,images/3crnorthants_kerriecosh_b_0825.jpg,
West Midlands & Warwickshire,https://www.bbc.co.uk/sounds/brand/p001d7ry,images/wmwarks_theojohnson_b_0525.jpg,
York & Humberside,https://www.bbc.co.uk/sounds/brand/p001ph3x,images/yorkhumber_jerichokeys_b_0525.jpg,
Northern Ireland,https://www.bbc.co.uk/sounds/brand/m002c285,images/northernireland_taylorjohnson_alt_b_0625.jpg,
